product_id,name,description,price,category,image_url
40,Mechanical Keyboard,"A high-quality mechanical keyboard designed for gamers and typists.",79.99,Electronics,https://via.placeholder.com/150/00008b/ffffff?text=Keyboard
41,Graphic T-Shirt,"A trendy graphic T-shirt with bold, eye-catching designs.",19.99,Clothing,https://via.placeholder.com/150/ffffff/000000?text=Graphic+T-Shirt
42,Jeans Jacket,"A rugged jeans jacket perfect for casual outings.",59.99,Clothing,https://via.placeholder.com/150/0000ff/ffffff?text=Jeans+Jacket
43,Casual Sneakers,"Everyday sneakers designed for comfort and style.",49.99,Shoes,https://via.placeholder.com/150/808080/ffffff?text=Casual+Sneakers
44,High-Performance Router,"A cutting-edge router for fast and reliable internet connectivity.",129.99,Electronics,https://via.placeholder.com/150/000000/ffffff?text=Router
45,Smart LED Bulb,"An energy-efficient smart LED bulb with customizable colors.",19.99,Home,https://via.placeholder.com/150/ffd700/000000?text=LED+Bulb
46,Portable Charger,"A compact portable charger to keep your devices powered on the go.",39.99,Electronics,https://via.placeholder.com/150/008000/ffffff?text=Charger
47,Noise-Cancelling Earphones,"Compact earphones with excellent noise-cancelling capabilities.",59.99,Electronics,https://via.placeholder.com/150/ffff00/000000?text=Earphones
48,Action Camera,"Capture your adventures with this rugged action camera.",149.99,Electronics,https://via.placeholder.com/150/ff4500/ffffff?text=Action+Camera
49,Smart Thermostat,"A smart thermostat that learns your schedule and saves energy.",199.99,Home,https://via.placeholder.com/150/008080/ffffff?text=Thermostat
50,E-Reader,"A lightweight e-reader with a high-resolution display and long battery life.",129.99,Electronics,https://via.placeholder.com/150/000000/ffffff?text=E-Reader
